frame_id,t_sec,cx,cy,x1,y1,x2,y2,conf
0,0.000000,1614.20,650.08,1582.36,623.03,1646.04,677.14,0.8407
1,0.033333,1614.59,655.65,1582.89,627.63,1646.28,683.67,0.8457
2,0.066667,1613.20,662.52,1581.34,635.28,1645.07,689.76,0.7864
3,0.100000,1612.65,667.46,1580.93,639.60,1644.38,695.31,0.8214
4,0.133333,1608.95,673.07,1578.76,646.07,1639.14,700.06,0.8703
5,0.166667,1604.18,676.49,1574.20,648.04,1634.17,704.94,0.8120
6,0.200000,1595.27,671.15,1568.34,642.86,1622.21,699.44,0.8726
7,0.233333,1584.20,661.62,1555.12,631.83,1613.29,691.42,0.9110
8,0.266667,1574.95,647.62,1548.33,619.76,1601.57,675.47,0.8822
9,0.300000,1572.77,630.89,1545.44,599.98,1600.10,661.79,0.8744
10,0.333333,1578.75,607.99,1548.19,579.91,1609.31,636.07,0.8725
11,0.366667,1586.15,586.27,1553.50,559.17,1618.79,613.38,0.9223
12,0.400000,1599.70,565.84,1568.59,539.76,1630.81,591.91,0.9344
13,0.433333,1609.80,547.44,1577.61,522.35,1641.99,572.54,0.9480
14,0.466667,1622.96,530.83,1588.99,505.71,1656.93,555.95,0.9563
15,0.500000,1633.49,514.95,1600.78,488.96,1666.19,540.95,0.9062
16,0.533333,1646.46,497.67,1614.86,472.14,1678.07,523.21,0.9333
17,0.566667,1656.29,482.01,1623.27,457.22,1689.32,506.80,0.8851
18,0.600000,1666.46,467.74,1633.40,443.13,1699.52,492.36,0.9227
19,0.633333,1672.94,453.60,1639.93,427.60,1705.94,479.60,0.9223
20,0.666667,1678.89,438.94,1645.96,412.92,1711.81,464.95,0.9633
21,0.700000,1684.19,424.98,1651.13,398.45,1717.25,451.52,0.9070
22,0.733333,1683.95,410.78,1649.69,383.60,1718.22,437.96,0.9289
23,0.766667,1683.74,396.54,1650.07,367.97,1717.41,425.11,0.9351
24,0.800000,1681.23,383.83,1647.70,355.00,1714.75,412.66,0.9357
25,0.833333,1676.33,368.70,1643.24,339.14,1709.42,398.26,0.9556
26,0.866667,1666.91,354.65,1633.35,324.65,1700.46,384.65,0.9622
27,0.900000,1654.73,333.22,1620.90,303.44,1688.55,363.00,0.9705
28,0.933333,1635.26,301.84,1602.04,271.45,1668.49,332.24,0.9336
29,0.966667,1598.21,265.13,1565.47,234.60,1630.95,295.66,0.9571
30,1.000000,1554.04,230.38,1523.05,200.29,1585.04,260.47,0.9096
31,1.033333,1510.82,199.35,1480.29,170.15,1541.35,228.55,0.9255
32,1.066667,1469.52,172.21,1439.70,142.47,1499.34,201.95,0.9337
33,1.100000,1427.95,147.40,1399.27,117.99,1456.63,176.80,0.9032
34,1.133333,1388.97,126.25,1359.17,97.94,1418.77,154.56,0.9313
35,1.166667,1349.36,107.84,1320.08,79.03,1378.64,136.65,0.9103
36,1.200000,1311.32,90.85,1283.83,61.35,1338.82,120.36,0.9297
37,1.233333,1274.65,78.02,1246.64,49.39,1302.66,106.65,0.9534
38,1.266667,1239.24,66.83,1212.74,38.53,1265.74,95.12,0.9423
39,1.300000,1204.14,59.09,1177.74,30.94,1230.54,87.23,0.9123
40,1.333333,1169.19,53.37,1143.29,24.91,1195.09,81.84,0.8839
41,1.366667,1135.44,50.09,1109.29,23.23,1161.58,76.94,0.8985
42,1.400000,1101.34,48.10,1076.07,21.40,1126.62,74.79,0.9250
43,1.433333,1070.73,49.72,1046.00,23.60,1095.46,75.84,0.9051
44,1.466667,1037.98,52.99,1013.06,26.74,1062.89,79.23,0.9039
45,1.500000,1007.94,59.12,983.07,33.74,1032.80,84.51,0.9398
46,1.533333,977.22,67.64,953.53,41.93,1000.91,93.35,0.9489
47,1.566667,947.24,76.18,922.71,50.23,971.77,102.14,0.9408
48,1.600000,917.43,89.04,893.02,63.48,941.83,114.60,0.9457
49,1.633333,888.46,102.09,864.43,77.00,912.50,127.18,0.9328
50,1.666667,861.07,116.16,836.93,91.14,885.21,141.17,0.9459
51,1.700000,833.31,134.42,809.05,110.51,857.57,158.33,0.9406
52,1.733333,805.76,152.33,782.23,127.37,829.29,177.30,0.9005
53,1.766667,779.30,172.12,755.71,146.57,802.88,197.66,0.9518
54,1.800000,751.70,194.89,728.58,171.25,774.82,218.52,0.9034
55,1.833333,726.64,218.18,703.54,194.23,749.74,242.13,0.9469
56,1.866667,700.07,243.35,676.87,220.05,723.28,266.64,0.9181
57,1.900000,690.55,267.73,667.04,245.43,714.07,290.03,0.7883
58,1.933333,711.09,280.92,689.47,262.30,732.71,299.54,0.8800
59,1.966667,736.20,306.87,713.92,284.93,758.47,328.81,0.9540
60,2.000000,734.25,312.82,710.38,289.54,758.13,336.10,0.9677
61,2.033333,726.84,321.89,699.46,296.53,754.22,347.25,0.9041
62,2.066667,716.63,319.70,690.93,295.70,742.32,343.69,0.9328
63,2.100000,707.68,324.49,683.45,301.05,731.91,347.94,0.8910
64,2.133333,702.13,329.62,677.77,306.14,726.48,353.10,0.9055
65,2.166667,696.77,330.30,672.83,307.36,720.71,353.24,0.8520
66,2.200000,694.98,330.86,672.58,310.94,717.39,350.79,0.2913
67,2.233333,691.94,334.64,671.62,314.68,712.26,354.59,0.2805
68,2.266667,693.81,347.24,671.75,324.55,715.87,369.94,0.4332
69,2.300000,695.42,354.56,673.34,330.71,717.50,378.41,0.8421
70,2.333333,700.90,358.50,678.31,335.19,723.49,381.80,0.8020
71,2.366667,704.44,368.19,679.77,344.57,729.12,391.80,0.7853
72,2.400000,711.39,375.32,689.23,351.72,733.55,398.91,0.5683
73,2.433333,716.94,382.67,693.91,360.18,739.97,405.15,0.7665
74,2.466667,720.94,391.86,699.65,368.78,742.23,414.93,0.9180
75,2.500000,725.68,403.61,702.59,381.09,748.77,426.13,0.9252
76,2.533333,730.20,419.34,707.81,396.32,752.60,442.37,0.9373
77,2.566667,733.25,436.36,710.32,413.86,756.17,458.86,0.8916
78,2.600000,739.05,455.15,716.94,432.01,761.16,478.28,0.9322
79,2.633333,743.63,475.74,721.74,452.87,765.53,498.61,0.9165
80,2.666667,747.57,498.72,725.41,475.96,769.72,521.48,0.9262
81,2.700000,753.68,521.16,731.67,499.35,775.69,542.97,0.9610
82,2.733333,756.62,548.58,734.47,527.36,778.76,569.80,0.9558
83,2.766667,760.62,576.03,738.48,554.30,782.77,597.77,0.9414
