id,u,v
A1,774.000000,771.000000
A2,475.000000,823.000000
A3,1592.000000,823.000000
A4,1504.000000,966.000000
B1,806.027577,703.785000
B2,815.231331,702.824339
B3,688.423021,716.060223
B4,518.811292,733.763805
B5,293.034993,757.329681
C1,716.475686,744.594180
C2,57.743189,833.223644
C3,1600.352083,808.440783
C4,1474.660408,1017.556135
O,962.080808,711.549128
P1,610.823916,758.809146
P2,475.770373,776.979986
P3,283.280242,802.878658
Q1,865.380081,755.350254
Q2,261.396711,859.717754
V1,418.000000,772.000000
V2,429.000000,460.000000
V3,719.709658,304.587382
V4,708.254975,797.020884
V5,1562.932284,870.696731
