epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,5.37847,2.97522,12.6523,1.28405,0,0,0,0,2.6862,6.64023,1.15854,0.00066,0.00022,0.00066,0.00022,0.00066,0.00022,0.00066,0.00022
2,7.97242,2.50525,10.8768,1.15226,0,0,0,0,2.2447,6.12643,1.02526,0.00136292,0.000454308,0.00136292,0.000454308,0.00136292,0.000454308,0.00136292,0.000454308
3,10.2442,2.1389,8.76734,1.00813,0.00029,0.08824,0.00016,5e-05,2.07822,5.65072,0.94801,0.00204802,0.000682675,0.00204802,0.000682675,0.00204802,0.000682675,0.00204802,0.000682675
4,12.4734,1.88934,7.31565,0.93007,0.00098,0.29412,0.00075,0.0002,2.06959,5.39201,0.93432,0.00271531,0.000905103,0.00271531,0.000905103,0.00271531,0.000905103,0.00271531,0.000905103
5,14.7674,1.88031,6.78295,0.89932,0.00186,0.55882,0.00277,0.00107,2.12947,5.01968,0.93073,0.00336477,0.00112159,0.00336477,0.00112159,0.00336477,0.00112159,0.00336477,0.00112159
6,16.8931,1.97106,6.04599,0.87987,0.00275,0.82353,0.25103,0.1383,1.99605,4.60909,0.93454,0.00399641,0.00133214,0.00399641,0.00133214,0.00399641,0.00133214,0.00399641,0.00133214
7,19.0124,1.80825,4.92439,0.86797,1,0.1239,0.57066,0.22276,2.09692,4.29025,0.93588,0.00461024,0.00153675,0.00461024,0.00153675,0.00461024,0.00153675,0.00461024,0.00153675
8,21.0487,1.8163,4.21424,0.86675,0.94898,0.44118,0.71769,0.36029,2.0242,4.20648,0.9391,0.00520624,0.00173541,0.00520624,0.00173541,0.00520624,0.00173541,0.00520624,0.00173541
9,23.085,1.82685,4.01938,0.85469,0.9218,0.61765,0.79834,0.36147,1.92025,3.81167,0.92912,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
10,25.0924,1.73767,3.48421,0.84482,0.89721,0.77032,0.84451,0.41489,1.91194,3.52181,0.92009,0.00533175,0.00177725,0.00533175,0.00177725,0.00533175,0.00177725,0.00533175,0.00177725
11,27.0947,1.76547,3.49462,0.84504,0.9847,0.76471,0.87329,0.42417,1.79516,3.37691,0.90314,0.0052575,0.0017525,0.0052575,0.0017525,0.0052575,0.0017525,0.0052575,0.0017525
12,29.1191,1.71303,3.1093,0.84487,1,0.78048,0.87239,0.42651,1.87697,3.12109,0.91159,0.00518325,0.00172775,0.00518325,0.00172775,0.00518325,0.00172775,0.00518325,0.00172775
13,31.1486,1.65899,2.95028,0.82476,0.96173,0.73918,0.86261,0.36228,2.03459,2.9298,0.92172,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
14,33.167,1.70351,2.86784,0.82682,0.86662,0.76439,0.85867,0.39111,2.16522,2.63641,0.92963,0.00503475,0.00167825,0.00503475,0.00167825,0.00503475,0.00167825,0.00503475,0.00167825
15,35.1839,1.60869,2.70016,0.83012,1,0.79278,0.89451,0.45965,2.04643,2.51344,0.91539,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535
16,37.2281,1.60184,2.43935,0.81253,1,0.79025,0.90377,0.49621,2.0575,2.31399,0.91357,0.00488625,0.00162875,0.00488625,0.00162875,0.00488625,0.00162875,0.00488625,0.00162875
17,39.2981,1.59696,2.35344,0.82296,0.94121,0.79412,0.90013,0.47014,2.20871,2.24709,0.92954,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
18,41.3086,1.55471,2.16225,0.82837,0.93709,0.82353,0.93041,0.46463,2.38379,2.09128,0.95366,0.00473775,0.00157925,0.00473775,0.00157925,0.00473775,0.00157925,0.00473775,0.00157925
19,43.3144,1.51004,2.11178,0.81798,0.96843,0.9023,0.94143,0.49559,2.24374,1.88499,0.94149,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545
20,45.3468,1.38399,1.98962,0.83396,0.96868,0.90972,0.95217,0.50185,2.1733,1.80187,0.94224,0.00458925,0.00152975,0.00458925,0.00152975,0.00458925,0.00152975,0.00458925,0.00152975
21,47.3492,1.46547,2.00658,0.80988,0.96426,0.94118,0.95329,0.49007,2.2653,1.73985,0.94247,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
22,49.3719,1.5083,1.84431,0.81865,0.99794,0.91176,0.94953,0.41337,2.35994,1.84816,0.95408,0.00444075,0.00148025,0.00444075,0.00148025,0.00444075,0.00148025,0.00444075,0.00148025
23,51.4129,1.41267,1.77486,0.80919,0.96951,0.93528,0.95697,0.45852,2.15607,1.77057,0.93461,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555
24,53.4454,1.44039,1.78085,0.79803,0.96953,0.93609,0.95665,0.49244,2.20508,1.7253,0.94141,0.00429225,0.00143075,0.00429225,0.00143075,0.00429225,0.00143075,0.00429225,0.00143075
25,55.4678,1.45511,1.58951,0.80819,0.98338,0.91176,0.95678,0.46441,2.23827,1.66018,0.9416,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
26,57.488,1.44797,1.64348,0.80469,0.98435,0.91176,0.95208,0.45907,2.38515,1.73594,0.95262,0.00414375,0.00138125,0.00414375,0.00138125,0.00414375,0.00138125,0.00414375,0.00138125
27,59.5243,1.41613,1.66399,0.83094,0.96892,0.91691,0.94918,0.43815,2.42151,1.79323,0.95706,0.0040695,0.0013565,0.0040695,0.0013565,0.0040695,0.0013565,0.0040695,0.0013565
28,61.5947,1.39189,1.62419,0.82629,0.96411,0.91176,0.94366,0.46872,2.28791,1.75933,0.94526,0.00399525,0.00133175,0.00399525,0.00133175,0.00399525,0.00133175,0.00399525,0.00133175
29,63.6417,1.39527,1.4493,0.80332,1,0.8756,0.93416,0.43131,2.38119,1.97648,0.94963,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
30,65.6816,1.35544,1.53755,0.80485,0.99011,0.88235,0.92832,0.42104,2.3552,2.24435,0.94667,0.00384675,0.00128225,0.00384675,0.00128225,0.00384675,0.00128225,0.00384675,0.00128225
31,67.7135,1.34954,1.38111,0.81289,0.99464,0.88235,0.91961,0.408,2.32568,2.31931,0.9327,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575
32,69.7411,1.33831,1.3383,0.81645,0.99445,0.88235,0.89858,0.36206,2.50522,2.2721,0.95236,0.00369825,0.00123275,0.00369825,0.00123275,0.00369825,0.00123275,0.00369825,0.00123275
33,71.7757,1.30587,1.32177,0.81253,0.99388,0.88235,0.92142,0.42189,2.38552,2.17208,0.94696,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
34,73.8369,1.3305,1.29472,0.80636,0.99419,0.88235,0.92007,0.46427,2.43229,2.26401,0.95598,0.00354975,0.00118325,0.00354975,0.00118325,0.00354975,0.00118325,0.00354975,0.00118325
35,75.839,1.35992,1.31034,0.7952,0.99289,0.88235,0.9079,0.46277,2.47017,2.42779,0.9599,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585
36,77.8746,1.31689,1.30322,0.80499,0.96267,0.88235,0.91734,0.48578,2.48113,2.33985,0.96753,0.00340125,0.00113375,0.00340125,0.00113375,0.00340125,0.00113375,0.00340125,0.00113375
37,79.9033,1.27979,1.25175,0.78586,0.99683,0.88235,0.91255,0.49813,2.4752,2.35825,0.96378,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
38,81.9118,1.32501,1.2223,0.8157,0.99416,0.88235,0.90025,0.47849,2.50352,2.38461,0.97307,0.00325275,0.00108425,0.00325275,0.00108425,0.00325275,0.00108425,0.00325275,0.00108425
39,83.9557,1.28065,1.18701,0.80706,0.9962,0.88235,0.90871,0.48922,2.43197,2.48054,0.96065,0.0031785,0.0010595,0.0031785,0.0010595,0.0031785,0.0010595,0.0031785,0.0010595
40,85.9926,1.23205,1.21187,0.79887,0.99506,0.88235,0.91204,0.49772,2.33007,2.52943,0.95304,0.00310425,0.00103475,0.00310425,0.00103475,0.00310425,0.00103475,0.00310425,0.00103475
41,88.0035,1.27835,1.19187,0.7932,0.96513,0.88235,0.9113,0.45274,2.5242,2.51822,0.97308,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
