epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8.88425,1.74241,6.33528,1.00085,0.0013,0.3913,0.00093,0.00058,1.20777,4.57903,0.88723,0.00084,0.00028,0.00084,0.00028,0.00084,0.00028,0.00084,0.00028
2,12.3207,1.33915,5.55686,0.88815,0.00203,0.6087,0.00243,0.00151,1.06785,4.43569,0.84748,0.00171847,0.000572823,0.00171847,0.000572823,0.00171847,0.000572823,0.00171847,0.000572823
3,15.3579,1.21662,4.71133,0.86266,0.00308,0.92391,0.0077,0.00471,0.99158,3.98403,0.81191,0.00257466,0.00085822,0.00257466,0.00085822,0.00257466,0.00085822,0.00257466,0.00085822
4,18.3299,1.17004,3.14263,0.82983,1,0.15581,0.77243,0.58441,0.96589,3.45123,0.82172,0.00340858,0.00113619,0.00340858,0.00113619,0.00340858,0.00113619,0.00340858,0.00113619
5,21.1298,1.06448,2.68879,0.82354,1,0.24714,0.89587,0.6852,0.96884,3.2256,0.81859,0.00422022,0.00140674,0.00422022,0.00140674,0.00422022,0.00140674,0.00422022,0.00140674
6,24.9626,1.09416,2.62593,0.81833,1,0.7338,0.94565,0.74336,0.91151,2.86981,0.8209,0.00500959,0.00166986,0.00500959,0.00166986,0.00500959,0.00166986,0.00500959,0.00166986
7,28.7887,1.10052,2.43092,0.81265,1,0.89322,0.95424,0.71828,0.96411,2.49563,0.82492,0.0055545,0.0018515,0.0055545,0.0018515,0.0055545,0.0018515,0.0055545,0.0018515
8,32.5207,0.99528,2.09329,0.80992,0.98841,0.92724,0.96437,0.75115,0.86941,2.07886,0.81705,0.00548025,0.00182675,0.00548025,0.00182675,0.00548025,0.00182675,0.00548025,0.00182675
9,36.2189,0.92661,1.85457,0.81088,0.98845,0.93017,0.96481,0.74779,0.81244,1.78961,0.81029,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
10,40.2577,0.88046,1.7756,0.8109,0.9887,0.95122,0.96539,0.78297,0.75337,1.58224,0.80758,0.00533175,0.00177725,0.00533175,0.00177725,0.00533175,0.00177725,0.00533175,0.00177725
11,43.6428,0.8875,1.63358,0.79944,0.98887,0.96614,0.98228,0.79422,0.74918,1.31278,0.80644,0.0052575,0.0017525,0.0052575,0.0017525,0.0052575,0.0017525,0.0052575,0.0017525
12,46.3759,0.87534,1.56648,0.80032,1,0.96587,0.98439,0.7962,0.75407,1.17314,0.80617,0.00518325,0.00172775,0.00518325,0.00172775,0.00518325,0.00172775,0.00518325,0.00172775
13,49.05,0.85913,1.47647,0.80217,1,0.96652,0.98489,0.77876,0.76851,1.07803,0.80491,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
14,52.7757,0.86438,1.47051,0.79891,1,0.97507,0.985,0.78884,0.7394,0.97279,0.79949,0.00503475,0.00167825,0.00503475,0.00167825,0.00503475,0.00167825,0.00503475,0.00167825
15,56.7095,0.79682,1.3637,0.7935,0.99559,0.97826,0.98551,0.77618,0.74577,0.85731,0.80089,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535
16,60.5421,0.77975,1.24169,0.78954,1,0.98424,0.99254,0.79932,0.71927,0.74832,0.80036,0.00488625,0.00162875,0.00488625,0.00162875,0.00488625,0.00162875,0.00488625,0.00162875
17,64.3063,0.75873,1.27181,0.79367,0.99508,0.97826,0.99197,0.80078,0.71094,0.70924,0.799,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
18,68.1539,0.76929,1.22923,0.79229,1,0.97191,0.98488,0.80973,0.68192,0.66619,0.79799,0.00473775,0.00157925,0.00473775,0.00157925,0.00473775,0.00157925,0.00473775,0.00157925
19,72.1279,0.77406,1.13449,0.79501,1,0.97492,0.98548,0.8091,0.68426,0.62073,0.79429,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545
20,75.7807,0.74665,1.13631,0.793,1,0.97594,0.99208,0.81858,0.67376,0.57922,0.79305,0.00458925,0.00152975,0.00458925,0.00152975,0.00458925,0.00152975,0.00458925,0.00152975
21,79.4058,0.74105,1.09094,0.78991,1,0.97665,0.99418,0.80614,0.68618,0.57956,0.79441,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
22,83.1564,0.68979,1.02004,0.7931,1,0.98438,0.99458,0.80009,0.68179,0.57063,0.79397,0.00444075,0.00148025,0.00444075,0.00148025,0.00444075,0.00148025,0.00444075,0.00148025
23,87.0398,0.71885,1.00224,0.78322,1,0.98756,0.99468,0.81754,0.67312,0.57853,0.79284,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555
